level,pictureUrl,exerciseName,phrases,noiseLevel,noiseUrl
48,longShortPhrases,Фразы разной длительности,(Полвосьмого вечера. Вернулись в полвосьмого вечера.),0,
49,longShortPhrases,Фразы разной длительности,(Родители подарили. Родители подарили подарок.),0,
50,longShortPhrases,Фразы разной длительности,(Иду в школу. Завтра иду в школу.),0,
1,noPhrases,Фразы с частицей Не,(Мальчишка пришёл в кино. Мальчишка не пришёл в кино.),0,
2,noPhrases,Фразы с частицей Не,(Кот мяукает на крыше. Кот мяукает не на крыше.),0,
3,noPhrases,Фразы с частицей Не,(На дереве сидит птичка. На дереве не сидит птичка.),0,
4,noPhrases,Фразы с частицей Не,(Птенец выпал из гнезда. Птенец не выпал из гнезда.),0,
5,noPhrases,Фразы с частицей Не,(Ребёнок хочет пить. Ребёнок не хочет пить.),0,
6,noPhrases,Фразы с частицей Не,(Подростки слушают музыку. Подростки слушают не музыку.),0,
7,noPhrases,Фразы с частицей Не,(Девушка читает популярный журнал. Девушка не читает популярный журнал.),0,
8,noPhrases,Фразы с частицей Не,(Щенок разлёгся на ковре. Щенок разлёгся не на ковре.),0,
9,noPhrases,Фразы с частицей Не,(Жеребёнок устал играя. Жеребёнок не устал играя.),0,
10,noPhrases,Фразы с частицей Не,(На полу появилось пятно. Не на полу появилось пятно.),0,
11,noPhrases,Фразы с частицей Не,(По дорожке едет чёрная машина. По дороге едет не чёрная машина.),0,
12,noPhrases,Фразы с частицей Не,(Исполнитель поёт в микрофон. Исполнитель не поёт в микрофон.),0,
13,noPhrases,Фразы с частицей Не,(Мышка шмыгнула в норку. Мышка шмыгнула не в норку.),0,
14,noPhrases,Фразы с частицей Не,(Ученики пишут сочинение. Ученики пишут не сочинение.),0,
15,noPhrases,Фразы с частицей Не,(У кастрюли пропала крышка. У кастрюли не пропала крышка.),0,
16,noPhrases,Фразы с частицей Не,(Девочка вырезает ножницами шаблон. Девочка вырезает не ножницами шаблон.),0,
17,noPhrases,Фразы с частицей Не,(Обеденный стол стоит на кухне. Обеденный стол стоит не на кухне.),0,
18,noPhrases,Фразы с частицей Не,(Брат решает занимательную задачу. Брат не решает занимательную задачу.),0,
19,noPhrases,Фразы с частицей Не,(Раздался дверной звонок. Раздался не дверной звонок.),0,
20,noPhrases,Фразы с частицей Не,(Я услышала крик чайки. Я не услышала крик чайки.),0,
21,noPhrases,Фразы с частицей Не,(Слышен свист чайника. Не слышен свист чайника.),0,
22,noPhrases,Фразы с частицей Не,(Под ногами шуршит листва. Под ногами не шуршит листва.),0,
23,noPhrases,Фразы с частицей Не,(Слышно дребезжание посуды. Не слышно дребезжание посуды.),0,
24,noPhrases,Фразы с частицей Не,(Быстро проехал игрушечный паровоз. Быстро проехал не игрушечный паровоз.),0,
25,noPhrases,Фразы с частицей Не,(На ветку села белая сова. На ветку села не белая сова.),0,
26,noPhrases,Фразы с частицей Не,(Я пью колу. Я пью не колу.),0,
27,noPhrases,Фразы с частицей Не,(У меня синяя майка. У меня не синяя майка.),0,
28,noPhrases,Фразы с частицей Не,(На заборе сидит кошка. На заборе не сидит кошка.),0,
29,noPhrases,Фразы с частицей Не,(Папа едет на машине.Папа не едет на машине.),0,
30,noPhrases,Фразы с частицей Не,(Автобус едет. Автобус не едет.),0,
31,noPhrases,Фразы с частицей Не,(Девочка плачет. Девочка не плачет.),0,
32,noPhrases,Фразы с частицей Не,(У мальчика синий шар. У мальчика не синий шар.),0,
33,noPhrases,Фразы с частицей Не,(Лошади  в зоопарке.  Лошади не  в зоопарке.),0,
34,noPhrases,Фразы с частицей Не,(Собаки в цике. Собаки не в цирке.),0,
35,noPhrases,Фразы с частицей Не,(Я слушаю музыку. Я не слушаю музыку.),0,
36,noPhrases,Фразы с частицей Не,(Дети спят. Дети не спят.),0,
37,noPhrases,Фразы с частицей Не,(Дождь идёт. Дождь не идёт.),0,
38,noPhrases,Фразы с частицей Не,(Солнце светит. Солнце не светит.),0,
39,noPhrases,Фразы с частицей Не,(За окном снег. За окном не снег.),0,
40,noPhrases,Фразы с частицей Не,(Бабушка вяжет. Бабушка не вяжет.),0,
41,noPhrases,Фразы с частицей Не,(Мама моет. Мама не моет.),0,
42,noPhrases,Фразы с частицей Не,(Мама шьет платье. Мама не шьет платье.),0,
43,noPhrases,Фразы с частицей Не,(Дети кушают  кашу. Дети не кушают кашу.),0,
44,noPhrases,Фразы с частицей Не,(У Саши большая машина. У Саши небольшая машина.),0,
45,noPhrases,Фразы с частицей Не,(Я рисую картину. Я не рисую картину.),0,
46,noPhrases,Фразы с частицей Не,(Мальчик плывёт. Мальчик не плывёт.),0,
47,noPhrases,Фразы с частицей Не,(Бабочка летает. Бабочка не летает.),0,
48,noPhrases,Фразы с частицей Не,(Велосипед лежит на дороге. Велосипед не лежит на дороге.),0,
49,noPhrases,Фразы с частицей Не,(У мамы день рождения. Не у мамы день рождения.),0,
50,noPhrases,Фразы с частицей Не,(Я учусь в школе. Я не учусь в школе.),0,
1,similarPhrases,Похожие фразы,(Я люблю суп. Я люблю дуб.),0,
2,similarPhrases,Похожие фразы,(У девочки болит ноготь. У девочки болит локоть.),0,
3,similarPhrases,Похожие фразы,(У мошки маленькие глазки. У мышки маленькие глазки.),0,
4,similarPhrases,Похожие фразы,(На башне разместили флаг. На пашне разместили флаг.),0,
5,similarPhrases,Похожие фразы,(В большом зале сова. В большом зале софа.),0,
6,similarPhrases,Похожие фразы,(Мама держит лак. Мама держит лук.),0,
7,similarPhrases,Похожие фразы,(У Васи уточка. У Васи удочка.),0,
8,similarPhrases,Похожие фразы,(У Маши коробка. У Миши коробка.),0,
9,similarPhrases,Похожие фразы,(На плакате большой кот. На плакате большой кит.),0,
10,similarPhrases,Похожие фразы,(У Вики ключи. У Вити ключи.),0,
11,similarPhrases,Похожие фразы,(На лугу коза лежит. На лугу коса лежит.),0,
12,similarPhrases,Похожие фразы,(Из сумки торчат раки. Из сумки торчат маки.),0,
13,similarPhrases,Похожие фразы,(На горку села птичка. На корку села птичка.),0,
14,similarPhrases,Похожие фразы,(В ловушке бьётся мышка. В ловушке бьётся мишка.),0,
15,similarPhrases,Похожие фразы,(В пуп попала соринка. В суп попала соринка.),0,
16,similarPhrases,Похожие фразы,(На пол упала рейка. На пол упала лейка.),0,
17,similarPhrases,Похожие фразы,(Из шкафа выпала линейка. Из шкафа выпала рейка.),0,
18,similarPhrases,Похожие фразы,(У Кристины мишка. У Кристины миска.),0,
19,similarPhrases,Похожие фразы,(У собаки кость. У собаки кисть.),0,
20,similarPhrases,Похожие фразы,(Кошка греется на солнышке. Мошка греется на солнышке.),0,
21,similarPhrases,Похожие фразы,(У ребят репка. У ребят лепка.),0,
22,similarPhrases,Похожие фразы,(В тетради написан код. В тетради написано кот.),0,
23,similarPhrases,Похожие фразы,(Девочку обнимает мама. Деточку обнимает мама.),0,
24,similarPhrases,Похожие фразы,(На картине изображена река. На картине изображена рука.),0,
25,similarPhrases,Похожие фразы,(В книге картинка луга. В книге картинка лука.),0,
26,similarPhrases,Похожие фразы,(Лубяная избушка. Ледяная избушка.),0,
27,similarPhrases,Похожие фразы,(Дедушка кушает холодец. Дедушка кушает леденец.),0,
28,similarPhrases,Похожие фразы,(На столе крошки. На столе ложки.),0,
29,similarPhrases,Похожие фразы,(На полу лежит ложка. На полу лежит кошка.),0,
30,similarPhrases,Похожие фразы,(Дедушка покупает цветы. Девушка покупает цветы.),0,
31,similarPhrases,Похожие фразы,(Над землёй летит лист. Над землёй летит аист.),0,
32,similarPhrases,Похожие фразы,(Дети слепили снежный дом. Дети слепили снежный ком.),0,
33,similarPhrases,Похожие фразы,(На столе лежат креветки. На столе лежат три ветки.),0,
34,similarPhrases,Похожие фразы,(На траве кочка. На траве бочка.),0,
35,similarPhrases,Похожие фразы,(На скамейке сидит бабушка. На скамейке сидит бабочка.),0,
36,similarPhrases,Похожие фразы,(В саду растёт малина. В саду растёт калина.),0,
37,similarPhrases,Похожие фразы,(Петя почувствовал холод. Петя почувствовал голод.),0,
38,similarPhrases,Похожие фразы,(На берегу лежит уточка. На берегу лежит удочка.),0,
39,similarPhrases,Похожие фразы,(Мальчик рисует чашку. Мальчик рисует шашку.),0,
40,similarPhrases,Похожие фразы,(У забора стоит мама. У забора стоит лама.),0,
41,similarPhrases,Похожие фразы,(На грядке лук. На грядке жук.),0,
42,similarPhrases,Похожие фразы,(Мальчик увидел карету. Мальчик увидел комету.),0,
43,similarPhrases,Похожие фразы,(В сарае стоит коза. В сарае стоит коса.),0,
44,similarPhrases,Похожие фразы,(В комнате стоит стол. В комнате стоит стул.),0,
45,similarPhrases,Похожие фразы,(В классе карта. В классе парта.),0,
46,similarPhrases,Похожие фразы,(На фотографии нора. На фотографии гора.),0,
47,similarPhrases,Похожие фразы,(Дети отдыхают на речке. Дети отдыхают на печке.),0,
48,similarPhrases,Похожие фразы,(Витя смотрит на курицу. Витя смотрит на улицу.),0,
49,similarPhrases,Похожие фразы,(В ведре мак. В ведре рак.),0,
50,similarPhrases,Похожие фразы,(В саду лежит банан. В саду лежит баран.),0,
1,differentEndPhrases,Фразы с разным окончанием,(У кошки яркий бант. У кошки яркие банты.),0,
2,differentEndPhrases,Фразы с разным окончанием,(У собаки новый костюм. У собаки новые костюмы.),0,
3,differentEndPhrases,Фразы с разным окончанием,(В старом альбоме наклейка. В старых альбомах наклейки.),0,
4,differentEndPhrases,Фразы с разным окончанием,(На старой визитке фотография. На старых визитках фотография.),0,
5,differentEndPhrases,Фразы с разным окончанием,(На пеньке растёт грибочек. На пеньке растут грибочки.),0,
6,differentEndPhrases,Фразы с разным окончанием,(На ветке яблони яблоко. На ветках яблони яблоки.),0,
7,differentEndPhrases,Фразы с разным окончанием,(У новой тумбы ручка. У новых тумб ручки.),0,
8,differentEndPhrases,Фразы с разным окончанием,(В пенале новый карандаш. В пенале новые карандаши.),0,
9,differentEndPhrases,Фразы с разным окончанием,(В кабинете современное кресло. В кабинете современные кресла.),0,
10,differentEndPhrases,Фразы с разным окончанием,(На вокзале новое табло. На вокзалах новые табло.),0,
11,differentEndPhrases,Фразы с разным окончанием,(В кинотеатре новый кинофильм. В кинотеатре новые кинофильмы.),0,
12,differentEndPhrases,Фразы с разным окончанием,(В ТикТок новый ролик. В ТикТок новые ролики.),0,
13,differentEndPhrases,Фразы с разным окончанием,(У стула сломалась ножка. У стула сломались ножки.),0,
14,differentEndPhrases,Фразы с разным окончанием,(Мишке оторвали лапу. Мишке оторвали лапы.),0,
15,differentEndPhrases,Фразы с разным окончанием,(В кафе новое блюдо. В кафе новые блюда.),0,
16,differentEndPhrases,Фразы с разным окончанием,(В маленьком автобусе четыре колеса. В маленьких автобусах по четыре колеса.),0,
17,differentEndPhrases,Фразы с разным окончанием,(В большом автобусе шесть колёс. В больших автобусах по шесть колёс.),0,
18,differentEndPhrases,Фразы с разным окончанием,(В театре премьера постановки. В театрах премьеры постановок.),0,
19,differentEndPhrases,Фразы с разным окончанием,(У девочки красивый цветок. У девочки красивые цветы.),0,
20,differentEndPhrases,Фразы с разным окончанием,(В тарелке сосиска. В тарелке сосиски.),0,
21,differentEndPhrases,Фразы с разным окончанием,(На крыльце сидит кот. На крыльце сидят коты.),0,
22,differentEndPhrases,Фразы с разным окончанием,(Мальчик поймал бабочку. Мальчик поймал бабочек.),0,
23,differentEndPhrases,Фразы с разным окончанием,(На стене висит картина. На стене висят картины.),0,
24,differentEndPhrases,Фразы с разным окончанием,(Маша испекла торт. Маша испекла торты.),0,
25,differentEndPhrases,Фразы с разным окончанием,(Мы спешим к другу. Мы спешим к друзьям),0,
26,differentEndPhrases,Фразы с разным окончанием,(По дороге едет машина. По дороге едут машины.),0,
27,differentEndPhrases,Фразы с разным окончанием,(В шкафу висит платье. В шкафу висят платья.),0,
28,differentEndPhrases,Фразы с разным окончанием,(На полу лежит коробка. На полу лежат коробки.),0,
29,differentEndPhrases,Фразы с разным окончанием,(Мальчик надел носок. Мальчик надел носки.),0,
30,differentEndPhrases,Фразы с разным окончанием,(Лесник нашел гриб. Лесник нашел грибы.),0,
31,differentEndPhrases,Фразы с разным окончанием,(В ведре плавает рыба. В ведре плавают рыбы.),0,
32,differentEndPhrases,Фразы с разным окончанием,(На дереве висит груша. На дереве висят груши.),0,
33,differentEndPhrases,Фразы с разным окончанием,(В гараже стоит машина. В гараже стоят машины.),0,
34,differentEndPhrases,Фразы с разным окончанием,(В небе летит самолёт. В небе летят самолёты.),0,
35,differentEndPhrases,Фразы с разным окончанием,(На земле лежит лист. На земле лежат листья.),0,
36,differentEndPhrases,Фразы с разным окончанием,(В реку упал мячик. В реку упали мячики.),0,
37,differentEndPhrases,Фразы с разным окончанием,(На ветке сидит птица. На ветке сидят птицы.),0,
38,differentEndPhrases,Фразы с разным окончанием,(Мама купила подушку. Мама купила подушки.),0,
39,differentEndPhrases,Фразы с разным окончанием,(Дядя несёт пакет. Дядя несёт пакеты.),0,
40,differentEndPhrases,Фразы с разным окончанием,(Дедушка звонит внуку. Дедушка звонит внукам.),0,
41,differentEndPhrases,Фразы с разным окончанием,(В вазе стоит цветок. В вазе стоят цветы.),0,
42,differentEndPhrases,Фразы с разным окончанием,(На небе светит звезда. На небе светят звёзды.),0,
43,differentEndPhrases,Фразы с разным окончанием,(На полке стоит книга. На полке стоят книги.),0,
44,differentEndPhrases,Фразы с разным окончанием,(На столе стоит кружка. На столе стоят кружки.),0,
45,differentEndPhrases,Фразы с разным окончанием,(У клоуна в руке воздушный шар. У клоуна в руке воздушные шары.),0,
46,differentEndPhrases,Фразы с разным окончанием,(Папа принес шар. Папа принес шары.),0,
47,differentEndPhrases,Фразы с разным окончанием,(Дедушка принёс яблоко. Дедушка принёс яблоки.),0,
48,differentEndPhrases,Фразы с разным окончанием,(На улице идет солдат. На улице идут солдаты.),0,
49,differentEndPhrases,Фразы с разным окончанием,(На улице корова.На улице коровы.),0,
50,differentEndPhrases,Фразы с разным окончанием,(Ян купил банан. Ян купил яблоки.),0,
1,shortWords,Короткие слова,(Вот тут мяч. Вон там мяч.),0,
2,shortWords,Короткие слова,(Вот этот ком. Тут этот ком.),0,
3,shortWords,Короткие слова,(Тут два кота. Тут три кота.),0,
4,shortWords,Короткие слова,(Вот пять груш. Там семь груш.),0,
5,shortWords,Короткие слова,(У нас его нет. У них его нет.),0,
6,shortWords,Короткие слова,(Этого тут нет. Этого там нет.),0,
7,shortWords,Короткие слова,(Вот это пух. Вот это мех.),0,
8,shortWords,Короткие слова,(Здесь семь веток. Здесь пять веток.),0,
9,shortWords,Короткие слова,(Вот тут лук. Вот тут сук.),0,
10,shortWords,Короткие слова,(Это один рак. Это один лак.),0,
11,shortWords,Короткие слова,(Вон там луг. Вон там лук.),0,
12,shortWords,Короткие слова,(Здесь три ели. Здесь две ели.),0,
13,shortWords,Короткие слова,(Марк уже здесь. Марк уже там.),0,
14,shortWords,Короткие слова,(Лика уже там. Лика ещё там.),0,
15,shortWords,Короткие слова,(Мила ест суп. Мила ест сыр.),0,
16,shortWords,Короткие слова,(Лена пьёт сок. Лена пьёт чай.),0,
17,shortWords,Короткие слова,(Он пьёт воду. Он льёт воду.),0,
18,shortWords,Короткие слова,(В лесу у нас ёж. В лесу у нас лось.),0,
19,shortWords,Короткие слова,(Тут есть мост. Здесь есть мост.),0,
20,shortWords,Короткие слова,(Вот этот пень. Вот этот день.),0,
21,shortWords,Короткие слова,(Тут спит лев. Тут спит Лёва.),0,
22,shortWords,Короткие слова,(Здесь будет флот. Здесь будет флаг.),0,
23,shortWords,Короткие слова,(Сын видит сор. Дочь видит сор.),0,
24,shortWords,Короткие слова,(Я слышу дождь. Я слышу свист.),0,
25,shortWords,Короткие слова,(Я вижу свет. Я вижу торт.),0,
26,shortWords,Короткие слова,(Кот ест рыбу. Кот ест мясо.),0,
27,shortWords,Короткие слова,(Мох скрыл гриб. Мох скрыл пень.),0,
28,shortWords,Короткие слова,(Дождь лил весь день. Свет лил весь день.),0,
29,shortWords,Короткие слова,(Вижу блеск волны. Вижу блеск рыбы.),0,
30,shortWords,Короткие слова,(Глеб мой брат. Глеб наш брат.),0,
31,shortWords,Короткие слова,(Вот твой план. Вот мой план.),0,
32,shortWords,Короткие слова,(В этот час поёт дрозд. В этот день поёт дрозд.),0,
33,shortWords,Короткие слова,(Вот он лоб. Вот он нос.),0,
34,shortWords,Короткие слова,(Уже есть свет. Сейчас есть свет.),0,
35,shortWords,Короткие слова,(Там стоит дом. Там стоит том.),0,
36,shortWords,Короткие слова,(Стул стоит здесь. Стол стоит здесь.),0,
37,shortWords,Короткие слова,(Лось у ели. Лось у цели.),0,
38,shortWords,Короткие слова,(Я пишу «рот». Я пишу «род».),0,
39,shortWords,Короткие слова,(У реки мост. У реки мяч.),0,
40,shortWords,Короткие слова,(Дай мне грош. Дай ему грош.),0,
41,shortWords,Короткие слова,(У нас сейчас дождь. У нас сейчас гром.),0,
42,shortWords,Короткие слова,(Тут есть лифт. Тут есть лис.),0,
43,shortWords,Короткие слова,(Возьми ты там зонт. Возьми ты там плащ.),0,
44,shortWords,Короткие слова,(Дед видит сон. Дед видит стол.),0,
45,shortWords,Короткие слова,(У него усы. У него трусы.),0,
46,shortWords,Короткие слова,(Прими от меня дар. Прими от него дар.),0,
47,shortWords,Короткие слова,(Вот этот пень. Вот этот день.),0,
48,shortWords,Короткие слова,(Лист упал на пол. Лист упал на стол.),0,
49,shortWords,Короткие слова,(Хвост у лисы. Хвост без лисы.),0,
50,shortWords,Короткие слова,(Дед отдал тост. Дед сказал тост.),0,
50,shortWords,Короткие слова,(Ёж несёт гриб. Ёж ищет гриб.),0,
50,shortWords,Короткие слова,(В лесу рос дуб. В бору рос дуб.),0,
50,shortWords,Короткие слова,(Бык ест на лугу. Бык был на лугу.),0,
1,prepositionPhrases,Предлоги,(Под деревом птичка. Над деревом птичка.),0,
2,prepositionPhrases,Предлоги,(Продавец положил фрукты в ящик. Продавец положил фрукты на ящик.),0,
3,prepositionPhrases,Предлоги,(Котёнок залез под диван. Котёнок залез на диван.),0,
4,prepositionPhrases,Предлоги,(Из мешка выполз уж. Из-под мешка выполз уж.),0,
5,prepositionPhrases,Предлоги,(Перед домом растёт берёза. Рядом с домом растёт берёза.),0,
6,prepositionPhrases,Предлоги,(Из-за кустов выпрыгнул заяц. Из кустов выпрыгнул заяц.),0,
7,prepositionPhrases,Предлоги,(Семья идёт по тротуару. Семья идёт к тротуару.),0,
8,prepositionPhrases,Предлоги,(Дети бросают камни через ручей. Дети бросают камни в ручей.),0,
9,prepositionPhrases,Предлоги,(Жёлуди упали у дуба. Жёлуди упали с дуба.),0,
10,prepositionPhrases,Предлоги,(Ученик взял тетрадь из стола. Ученик взял тетрадь со стола.),0,
11,prepositionPhrases,Предлоги,(Для нас показывают фильм. Про нас показывают фильм.),0,
12,prepositionPhrases,Предлоги,(Без яблок компот не вкусный. Из яблок компот не вкусный.),0,
13,prepositionPhrases,Предлоги,(За нами придут родители. С нами придут родители.),0,
14,prepositionPhrases,Предлоги,(О тебе много хорошего говорят. Про тебя много хорошего говорят.),0,
15,prepositionPhrases,Предлоги,(Трамвай едет к проспекту. Трамвай едет от проспекта.),0,
16,prepositionPhrases,Предлоги,(Вблизи реки построили дома. Вдоль реки построили дома.),0,
17,prepositionPhrases,Предлоги,(При дороге есть кафе. По дороге есть кафе.),0,
18,prepositionPhrases,Предлоги,(Мы прогулялись до леса пешком. Мы прогулялись от леса пешком.),0,
19,prepositionPhrases,Предлоги,(По пути мы встретили ежа. На пути мы встретили ежа.),0,
20,prepositionPhrases,Предлоги,(Я пошла в театр ради мамы. Я пошла в театр без мамы.),0,
21,prepositionPhrases,Предлоги,(Гриб вырос под осиной. Гриб вырос за осиной.),0,
22,prepositionPhrases,Предлоги,(Человек идёт под зонтом. Человек идёт за зонтом.),0,
23,prepositionPhrases,Предлоги,(На лампе муха. Над лампой муха.),0,
24,prepositionPhrases,Предлоги,(Я переживаю без друзей. Я переживаю за друзей.),0,
25,prepositionPhrases,Предлоги,(Я получил посылку от тебя. Я получил посылку за тебя.),0,
26,prepositionPhrases,Предлоги,(Кошка сидит на скамейке.Кошка сидит под скамейкой.),0,
27,prepositionPhrases,Предлоги,(Ручка лежит в пенале. Ручка лежит под пеналом.),0,
28,prepositionPhrases,Предлоги,(Очки в футляре. Очки за футляром.),0,
29,prepositionPhrases,Предлоги,(Мальчик едет в автобусе. Мальчик едет на велосипеде.),0,
30,prepositionPhrases,Предлоги,(Малыш в домике. Малыш на домике.),0,
31,prepositionPhrases,Предлоги,(Хлеб на хлебнице. Хлеб в хлебнице.),0,
32,prepositionPhrases,Предлоги,(Конфеты лежат перед коробкой. Конфеты лежат за коробкой.),0,
33,prepositionPhrases,Предлоги,(Ворона сидит под крышей. Ворона сидит на крыше.),0,
34,prepositionPhrases,Предлоги,(Человек стоит за стенкой. Человек стоит перед стенкой.),0,
35,prepositionPhrases,Предлоги,(Возле забора натянута леска. Вдоль забора  натянута леска.),0,
36,prepositionPhrases,Предлоги,(В пути мы встретили бабушку. По пути мы встретили бабушку.),0,
37,prepositionPhrases,Предлоги,(В ведре яблоки. На ведре яблоки.),0,
38,prepositionPhrases,Предлоги,(По дороге есть магазин. При дороге есть магазин.),0,
39,prepositionPhrases,Предлоги,(Лежу на солнышке. Лежу под солнышком.),0,
40,prepositionPhrases,Предлоги,(Стою перед зеркалом. Стою за зеркалом.),0,
41,prepositionPhrases,Предлоги,(Кукла под столом. Кукла за столом.),0,
42,prepositionPhrases,Предлоги,(Мальчик на стуле. Мальчик за стулом.),0,
43,prepositionPhrases,Предлоги,(Вдоль стены скамейки. Возле стены скамейки.),0,
44,prepositionPhrases,Предлоги,(Бананы на пакете. Бананы в пакете.),0,
45,prepositionPhrases,Предлоги,(Кастрюля в шкафчике. Кастрюля на шкафчике.),0,
46,prepositionPhrases,Предлоги,(Пробка в бутылке. Пробка на бутылке.),0,
47,prepositionPhrases,Предлоги,(Спичка за коробкой. Спичка под коробкой.),0,
48,prepositionPhrases,Предлоги,(Мышка под холодильником. Мышка за холодильником.),0,
49,prepositionPhrases,Предлоги,(Пыль за сундуком. Пыль под сундуком.),0,
50,prepositionPhrases,Предлоги,(Я пришёл от брата. Я пришёл за брата.),0,
51,prepositionPhrases,Предлоги,(Котенок сидит в коробке. Котенок сидит на коробке),0,
